name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information
Risas Dental & Braces,PA,Healthcare Provider,618189.0,3/28/2024,Hacking/IT Incident,Network Server
"Baytown Medical Center, L.P.",TX,Healthcare Provider,1500.0,3/25/2024,Unauthorized Access/Disclosure,Network Server
"Robert Peterson DDS, PC",OR,Healthcare Provider,6500.0,3/23/2024,Theft,Paper/Films
"Designed Receivable Solutions, Inc.",CA,Business Associate,585035.0,3/23/2024,Hacking/IT Incident,Network Server
"Human Development Services of Westchester, Inc.",NY,Healthcare Provider,506.0,3/23/2024,Hacking/IT Incident,Email
"Ethos, also known as Southwest Boston Senior Services",MA,Business Associate,14503.0,3/22/2024,Hacking/IT Incident,Network Server
Emergency Medical Services Authority,OK,Healthcare Provider,611743.0,3/22/2024,Hacking/IT Incident,Network Server
County of Los Angeles Department of Mental Health,CA,Healthcare Provider,1408.0,3/22/2024,Hacking/IT Incident,Email
"Lakewood Medical Center, PC",CO,Healthcare Provider,2500.0,3/21/2024,Hacking/IT Incident,Network Server
Battle Mountain General Hospital,NV,Healthcare Provider,2767.0,3/21/2024,Hacking/IT Incident,Email
Pomona Valley Hospital Medical Center,CA,Healthcare Provider,13516.0,3/20/2024,Hacking/IT Incident,Network Server
"Western New York Independent Living, Inc.",NY,Healthcare Provider,2886.0,3/19/2024,Hacking/IT Incident,Network Server
Valley Oaks Health ,IN,Healthcare Provider,50034.0,3/18/2024,Hacking/IT Incident,Network Server
Bonney Forge Corporation,PA,Health Plan,672.0,3/18/2024,Hacking/IT Incident,Network Server
"RxBenefits, Inc. ",AL,Business Associate,3396.0,3/18/2024,Unauthorized Access/Disclosure,Paper/Films
Andor Labs,NC,Healthcare Provider,500.0,3/18/2024,Theft,Laptop
Weirton Medical Center,WV,Healthcare Provider,26793.0,3/18/2024,Hacking/IT Incident,Network Server
Philips Respironics,PA,Business Associate,1125.0,3/15/2024,Hacking/IT Incident,Network Server
Aveanna Healthcare,GA,Healthcare Provider,65482.0,3/15/2024,Hacking/IT Incident,Email
Cornerstone Healthcare Group Management Services LLC,KY,Business Associate,484957.0,3/14/2024,Hacking/IT Incident,Network Server
California Correctional Health Care Services,CA,Healthcare Provider,1348.0,3/14/2024,Unauthorized Access/Disclosure,Email
Plymouth Tube Company Employee Benefit Plan,IL,Health Plan,2652.0,3/13/2024,Hacking/IT Incident,Network Server
Healthfirst,NY,Health Plan,6836.0,3/13/2024,Hacking/IT Incident,Network Server
Newton Centre Dental,MA,Healthcare Provider,2547.0,3/12/2024,Hacking/IT Incident,Email
Texas Health and Human Services ,TX,Health Plan,3392.0,3/11/2024,Unauthorized Access/Disclosure,Email
Massachusetts Department of Developmental Services,MA,Healthcare Provider,500.0,3/11/2024,Improper Disposal,Paper/Films
"Blue Ridge Pediatric & Adolescent Medicine, Inc.",NC,Healthcare Provider,39282.0,3/11/2024,Hacking/IT Incident,Network Server
UC San Diego Health Hillcrest- Hillcrest Medical Center,CA,Healthcare Provider,1642.0,3/8/2024,Hacking/IT Incident,Email
"Gunster, Yoakley, & Stewart, PA",FL,Business Associate,42077.0,3/8/2024,Hacking/IT Incident,Network Server
"Jewish Home Lifecare, Inc. ",NY,Healthcare Provider,104234.0,3/8/2024,Hacking/IT Incident,Network Server
"CDC Dental Management, Co., LLC dba Kids Care Dental & Orthodontics",CA,Healthcare Provider,1286.0,3/7/2024,Hacking/IT Incident,Network Server
Orthopedic Associates of Flower Mound PLLC,TX,Healthcare Provider,1759.0,3/6/2024,Hacking/IT Incident,Email
University of Wisconsin Hospitals and Clinics Authority ,WI,Healthcare Provider,85902.0,3/5/2024,Hacking/IT Incident,Email
"BlueCross BlueShield of Tennessee, Inc. and Volunteer State Health Plan, Inc. d/b/a BlueCare Plus Tennessee",TN,Health Plan,1251.0,3/5/2024,Hacking/IT Incident,Network Server
Orlando VA Medical Center,FL,Healthcare Provider,9850.0,3/5/2024,Unauthorized Access/Disclosure,Email
Philips Respironics,PA,Business Associate,457152.0,3/4/2024,Hacking/IT Incident,Network Server
"Bay Surgical Specialists, LLC",FL,Healthcare Provider,1505.0,3/4/2024,Hacking/IT Incident,Network Server
Lake of the Woods County Social Services,MN,Healthcare Provider,537.0,3/4/2024,Hacking/IT Incident,Network Server
"Yakima Valley Radiology, PC",WA,Healthcare Provider,235249.0,3/1/2024,Hacking/IT Incident,Network Server
"Cherry Street Services, Inc. d/b/a Cherry Health ",MI,Healthcare Provider,181820.0,2/29/2024,Hacking/IT Incident,Network Server
DGA-Producer Pension & Health Plans,CA,Health Plan,4211.0,2/29/2024,Hacking/IT Incident,Network Server
Kirkland & Ellis LLP,IL,Business Associate,48802.0,2/29/2024,Hacking/IT Incident,Network Server
"Eastern Radiologists, Inc",NC,Healthcare Provider,886746.0,2/29/2024,Hacking/IT Incident,Network Server
Littleton Regional Healthcare,NH,Healthcare Provider,12614.0,2/28/2024,Unauthorized Access/Disclosure,Email
 Ohio Neurologic Institute,OH,Healthcare Provider,5548.0,2/28/2024,Theft,Laptop
"Northeast Orthopedics and Sports Medicine, PLLC",NY,Healthcare Provider,177101.0,2/27/2024,Hacking/IT Incident,Network Server
Community Health Group Partnership Plan,CA,Health Plan,708.0,2/27/2024,Hacking/IT Incident,Network Server
Ascend Healthcare Management LLC,AZ,Healthcare Provider,791.0,2/26/2024,Hacking/IT Incident,Other
"Bay Area Anesthesia, LLC",FL,Healthcare Provider,15196.0,2/26/2024,Hacking/IT Incident,Network Server
Scurry County Hospital District dba Cogdell Memorial Hospital,TX,Healthcare Provider,86981.0,2/24/2024,Hacking/IT Incident,Network Server
"MedQ, Inc.",TX,Business Associate,55917.0,2/23/2024,Hacking/IT Incident,Network Server
"Bold Quail Holdings, LLC (NewGen Administrative Services, LLC) ",CA,Healthcare Provider,105425.0,2/23/2024,Hacking/IT Incident,Network Server
Santa Clarita Community College District,CA,Health Plan,2324.0,2/23/2024,Hacking/IT Incident,Network Server
"CVS Caremark Part D Services, L.L.C. (â€œCVSâ€)",RI,Business Associate,11193.0,2/23/2024,Unauthorized Access/Disclosure,Paper/Films
"OrthopedicsNY, LLP",NY,Healthcare Provider,656086.0,2/23/2024,Hacking/IT Incident,Network Server
Washington County Hospital and Nursing Home,AL,Healthcare Provider,29346.0,2/22/2024,Hacking/IT Incident,Network Server
"Lamont Hanley & Associates, Inc.",NH,Business Associate,22216.0,2/22/2024,Hacking/IT Incident,Email
"Maryville, Inc.",NJ,Healthcare Provider,15503.0,2/21/2024,Hacking/IT Incident,Email
"East Carolina Universityâ€™s Brody School of Medicine, a member of the ECU Health affiliated covered entity",NC,Healthcare Provider,19085.0,2/20/2024,Unauthorized Access/Disclosure,Network Server
Egyptian Health Department ,IL,Healthcare Provider,121995.0,2/20/2024,Hacking/IT Incident,Network Server
Anna Jaques Hospital a member of Beth Israel Health Incorporated,MA,Healthcare Provider,308829.0,2/20/2024,Hacking/IT Incident,Network Server
"McKenzie County Healthcare System, Inc.",ND,Healthcare Provider,8345.0,2/16/2024,Hacking/IT Incident,Email
Human Affairs International of California,CA,Business Associate,18347.0,2/16/2024,Unauthorized Access/Disclosure,Paper/Films
"Dedicated Physicians Group of Texas, PLLC d/b/a Dedicated Senior Medical Center",FL,Healthcare Provider,3441.0,2/16/2024,Theft,Other
CareFirst BlueCross BlueShield Community Health Plan â€“ District of Columbia,DC,Business Associate,2189.0,2/16/2024,Unauthorized Access/Disclosure,Network Server
"CVS Pharmacy, Inc.",RI,Healthcare Provider,1896.0,2/16/2024,Unauthorized Access/Disclosure,Network Server
Dignity Health Welfare Benefits Plan,CO,Health Plan,744.0,2/15/2024,Unauthorized Access/Disclosure,Paper/Films
"Employee Benefits Corporation of America and Benefit Design Group, Inc.",VA,Health Plan,38912.0,2/15/2024,Hacking/IT Incident,Network Server
Qualcomm Incorporated,CA,Health Plan,4102.0,2/15/2024,Hacking/IT Incident,Network Server
"BlueCross BlueShield of Tennessee, Inc. and Volunteer State Health Plan, Inc. d/b/a BlueCare Plus Tennessee",TN,Health Plan,790.0,2/15/2024,Hacking/IT Incident,Network Server
City of Dubuque Fire Department,IA,Healthcare Provider,1381.0,2/14/2024,Unauthorized Access/Disclosure,Network Server
Roswell Park Comprehensive Cancer Center,NY,Healthcare Provider,755.0,2/14/2024,Hacking/IT Incident,Email
May Institute ,MA,Healthcare Provider,2612.0,2/12/2024,Hacking/IT Incident,Network Server
Erie Indemnity Company Group Dental Assistance Plan,PA,Health Plan,3122.0,2/12/2024,Hacking/IT Incident,Network Server
"AGC Flat Glass North America, Inc. Welfare Benefits Plan",GA,Health Plan,13079.0,2/12/2024,Hacking/IT Incident,Network Server
Coleman Professional Services Inc. ,OH,Healthcare Provider,51889.0,2/12/2024,Hacking/IT Incident,Email
Prime Healthcare Employee Health Plan,CA,Health Plan,101135.0,2/9/2024,Hacking/IT Incident,Network Server
"CBIZ Marks Paneth, LLC",OH,Business Associate,5562.0,2/8/2024,Hacking/IT Incident,Network Server
Humana Inc.,KY,Health Plan,12339.0,2/8/2024,Unauthorized Access/Disclosure,Network Server
Liberty Hospital,MO,Healthcare Provider,264541.0,2/8/2024,Hacking/IT Incident,Network Server
"Forward Healthcare, LLC",MD,Healthcare Provider,3999.0,2/8/2024,Hacking/IT Incident,Network Server
"Medical Management Resource Group, L.L.C.",AZ,Business Associate,2264157.0,2/6/2024,Hacking/IT Incident,Network Server
Humana Inc.,KY,Health Plan,6440.0,2/6/2024,Unauthorized Access/Disclosure,Paper/Films
The Bengtson Center for Aesthetics and Plastic Surgery,MI,Healthcare Provider,935.0,2/5/2024,Unauthorized Access/Disclosure,"Desktop Computer, Network Server"
Kentucky Cabinet for Health and Family Services,KY,Health Plan,857.0,2/5/2024,Unauthorized Access/Disclosure,Paper/Films
Greater Cincinnati Behavioral Health Services ,OH,Healthcare Provider,50000.0,2/2/2024,Hacking/IT Incident,Network Server
Health Alliance Medical Plans,IL,Health Plan,6900.0,2/2/2024,Hacking/IT Incident,Network Server
Coppola Physical Therapy and Fitness Gyms,NH,Healthcare Provider,632.0,1/31/2024,Unauthorized Access/Disclosure,Email
Saint Anthony Health Ministries ,IL,Healthcare Provider,360220.0,1/30/2024,Hacking/IT Incident,Network Server
"Bay Area Heart Center, PA",FL,Healthcare Provider,11709.0,1/30/2024,Hacking/IT Incident,Email
Veterans Health Administration,DC,Healthcare Provider,46677.0,1/30/2024,Unauthorized Access/Disclosure,Paper/Films
Allies for Health + Wellbeing ,PA,Healthcare Provider,680.0,1/30/2024,Hacking/IT Incident,"Email, Other"
"OrthoArkansas, PA Employee Benefit Plan",AR,Health Plan,1270.0,1/29/2024,Hacking/IT Incident,Network Server
"Sun Pain Management, LLC",AZ,Healthcare Provider,2988.0,1/27/2024,Hacking/IT Incident,Network Server
Kern Regional Center,CA,Healthcare Provider,772.0,1/26/2024,Unauthorized Access/Disclosure,Email
Artesia General Hospital,NM,Healthcare Provider,2931.0,1/26/2024,Unauthorized Access/Disclosure,Paper/Films
Nabholz Construction Company Employee Welfare Health Plan,AR,Health Plan,5326.0,1/26/2024,Hacking/IT Incident,Network Server
United Regional Health Care System,TX,Healthcare Provider,36900.0,1/26/2024,Hacking/IT Incident,Network Server
"PruittHealth, Inc.",GA,Business Associate,56405.0,1/26/2024,Hacking/IT Incident,Network Server
"Marian Village Corporation, d/b/a/ Marywood Nursing Care Center (â€œMarywoodâ€) ",MI,Healthcare Provider,6178.0,1/24/2024,Hacking/IT Incident,Network Server
FedEx Corporation Group Health Plan,TN,Health Plan,553.0,1/24/2024,Hacking/IT Incident,Network Server
"Webber Chiropractic Sports Clinic, Inc. ",WA,Healthcare Provider,1695.0,1/23/2024,Hacking/IT Incident,Network Server
"J.D. Gilmour & Co., Inc.",CA,Business Associate,2570.0,1/22/2024,Hacking/IT Incident,Email
Humana Inc.,KY,Health Plan,12539.0,1/22/2024,Unauthorized Access/Disclosure,Paper/Films
"Catholic Charities of the Archdiocese of Miami, Inc.",FL,Healthcare Provider,1170.0,1/22/2024,Hacking/IT Incident,Network Server
Mount Vernon Dental Smiles,VA,Healthcare Provider,1074.0,1/19/2024,Unauthorized Access/Disclosure,Email
Columbus Regional Healthcare System,NC,Healthcare Provider,132887.0,1/19/2024,Hacking/IT Incident,Network Server
Native American Health Center,CA,Healthcare Provider,4231.0,1/18/2024,Hacking/IT Incident,Network Server
Regence BlueCross BlueShield of Oregon,OR,Health Plan,856.0,1/18/2024,Unauthorized Access/Disclosure,Paper/Films
TGI Direct,MI,Business Associate,11556.0,1/17/2024,Hacking/IT Incident,Network Server
Brady Martz & Associates PC,ND,Business Associate,13655.0,1/17/2024,Hacking/IT Incident,Network Server
"CR Pharmacy Services, Inc. d/b/a CarePro",IA,Healthcare Provider,151499.0,1/15/2024,Hacking/IT Incident,Network Server
"Colorado Ophthalmology Associates, PC",CO,Healthcare Provider,6020.0,1/13/2024,Hacking/IT Incident,Network Server
Lester and Rosalie Anixter Center,IL,Healthcare Provider,6194.0,1/12/2024,Hacking/IT Incident,Email
"Pacific Cataract and Laser Institute, Inc., P.C.",WA,Healthcare Provider,9967.0,1/12/2024,Hacking/IT Incident,Network Server
"Summit Medical Group, PLLC",TN,Healthcare Provider,4135.0,1/12/2024,Hacking/IT Incident,Email
"Air Methods, LLC",NV,Healthcare Provider,34063.0,1/12/2024,Theft,Laptop
Hampton-Newport News Community Services Board,VA,Healthcare Provider,44312.0,1/11/2024,Hacking/IT Incident,Network Server
Burr & Forman LLP,AL,Business Associate,19893.0,1/9/2024,Hacking/IT Incident,Network Server
Coastal Plains Community Mental Health Mental Retardation Center,TX,Healthcare Provider,45357.0,1/9/2024,Hacking/IT Incident,Network Server
"Concentra Health Services, Inc.",TX,Healthcare Provider,3998163.0,1/9/2024,Hacking/IT Incident,Network Server
Sharp Health Plan,CA,Health Plan,8200.0,1/8/2024,Unauthorized Access/Disclosure,Paper/Films
Sharp Health Plan,CA,Health Plan,9255.0,1/8/2024,Hacking/IT Incident,Network Server
Dignity Health Nevada St. Rose Dominican Hospital ,NV,Healthcare Provider,2652.0,1/8/2024,Hacking/IT Incident,Network Server
The Harris Center for Mental Health and IDD,TX,Healthcare Provider,545001.0,1/5/2024,Hacking/IT Incident,Network Server
Veterans Health Administration,DC,Healthcare Provider,2380.0,1/5/2024,Unauthorized Access/Disclosure,Paper/Films
Tampa Bay Surgical Group   ,FL,Healthcare Provider,1107.0,1/5/2024,Loss,Other Portable Electronic Device
"Fincantieri Marine Group, LLC",DC,Health Plan,11535.0,1/5/2024,Hacking/IT Incident,Network Server
Morgan Stanley Health Benefits and Insurance Plan,NY,Health Plan,2442.0,1/4/2024,Hacking/IT Incident,Network Server
Northern Inyo Healthcare District,CA,Healthcare Provider,1305.0,1/3/2024,Hacking/IT Incident,Network Server
North Kansas City Hospital,MO,Healthcare Provider,502438.0,1/3/2024,Hacking/IT Incident,Network Server
Midwest Long Term Care Services DBA Senior Scripts,MO,Healthcare Provider,10566.0,1/2/2024,Hacking/IT Incident,Network Server
Community Tri-County Healthcare,AL,Healthcare Provider,5809.0,1/2/2024,Hacking/IT Incident,Network Server
Keystone First,PA,Health Plan,1965.0,1/2/2024,Hacking/IT Incident,Network Server
"Transformative Healthcare, on behalf of Fallon Ambulance Services",MA,Healthcare Provider,911757.0,12/31/2023,Hacking/IT Incident,"Electronic Medical Record, Network Server"
"HMG Healthcare, LLC",TX,Healthcare Provider,80000.0,12/29/2023,Hacking/IT Incident,Network Server
EDI Health Group dba DentalXChange,CA,Healthcare Clearing House,2574.0,12/29/2023,Hacking/IT Incident,Network Server
Medical Center Barbour,AL,Healthcare Provider,61014.0,12/27/2023,Hacking/IT Incident,Network Server
Fred Hutchinson Cancer Center,WA,Healthcare Provider,20192.0,12/26/2023,Loss,Laptop
Lake County Health Department and Community Health Center,IL,Healthcare Provider,5000.0,12/26/2023,Hacking/IT Incident,Email
"Meridian Behavioral Healthcare, Inc.",FL,Healthcare Provider,98808.0,12/22/2023,Hacking/IT Incident,Network Server
"Mountain Dermatology Specialists, PC",CO,Healthcare Provider,2705.0,12/22/2023,Hacking/IT Incident,Email
"Eye Physicians of Central Florida, PLLC, a division of Florida Pediatric Associates, LLC",FL,Healthcare Provider,31189.0,12/22/2023,Hacking/IT Incident,Network Server
Highlands Oncology Group PA,AR,Healthcare Provider,55297.0,12/22/2023,Hacking/IT Incident,Network Server
County of Los Angeles Department of Mental Health,CA,Healthcare Provider,1284.0,12/22/2023,Hacking/IT Incident,Network Server
Clay County Social Services,MN,Business Associate,123847.0,12/22/2023,Hacking/IT Incident,Network Server
NYC Health + Hospitals,NY,Healthcare Provider,3000.0,12/22/2023,Unauthorized Access/Disclosure,"Desktop Computer, Paper/Films"
"The Foleck Center, LTD",VA,Healthcare Provider,6965.0,12/22/2023,Hacking/IT Incident,Email
"Retina Group of Washington, PLLC",MD,Healthcare Provider,455935.0,12/22/2023,Hacking/IT Incident,Network Server
"RevSpring, Inc.",TN,Business Associate,1053.0,12/22/2023,Unauthorized Access/Disclosure,Network Server
HealthEC LLC,NJ,Business Associate,4786241.0,12/21/2023,Hacking/IT Incident,Network Server
"Molina Healthcare of Ohio, Inc. ",CA,Health Plan,1977.0,12/21/2023,Unauthorized Access/Disclosure,Paper/Films
"AccessDx Laboratory, LLC",TX,Healthcare Provider,535.0,12/21/2023,Hacking/IT Incident,Email
Humana Inc.,KY,Health Plan,2844.0,12/21/2023,Hacking/IT Incident,Network Server
"360 Physical Therapy, LLC",ND,Healthcare Provider,520.0,12/21/2023,Theft,Paper/Films
"Lone Peak Physical Therapy, Inc. ",MT,Healthcare Provider,5809.0,12/21/2023,Theft,Paper/Films
"Southeastern Orthopaedic Specialists, PA",NC,Healthcare Provider,35533.0,12/21/2023,Hacking/IT Incident,Network Server
Rush System for Health,IL,Healthcare Provider,4961.0,12/21/2023,Unauthorized Access/Disclosure,Email
CompleteCare Health Network,NJ,Healthcare Provider,316059.0,12/20/2023,Hacking/IT Incident,Network Server
"BlueCross BlueShield of Tennessee, Inc.",TN,Health Plan,1676.0,12/19/2023,Hacking/IT Incident,Network Server
Michigan Orthopaedic Surgeons ,MI,Healthcare Provider,67477.0,12/19/2023,Hacking/IT Incident,Email
BELLIN HEALTH,WI,Healthcare Provider,20790.0,12/19/2023,Hacking/IT Incident,Network Server
ZOLL Medical Corporation ,MA,Health Plan,8898.0,12/18/2023,Hacking/IT Incident,Email
"Community Memorial Healthcare, Inc.",KS,Healthcare Provider,14798.0,12/16/2023,Hacking/IT Incident,Network Server
"AccessOne Medcard, Inc.",SC,Business Associate,8049.0,12/15/2023,Hacking/IT Incident,Network Server
"Eyefinity, Inc.",CA,Business Associate,1352.0,12/14/2023,Unauthorized Access/Disclosure,Network Server
Mount Carmel Care Center,MA,Healthcare Provider,1430.0,12/14/2023,Hacking/IT Incident,Network Server
"Discount Emporium, Inc. d/b/a Drug Emporium",WV,Healthcare Provider,2500.0,12/14/2023,Hacking/IT Incident,Network Server
"Independent Vision Group, LTD",WI,Healthcare Provider,2931.0,12/13/2023,Hacking/IT Incident,Email
City of Hope,CA,Healthcare Provider,902540.0,12/12/2023,Hacking/IT Incident,Network Server
"Health Diagnostic Management, LLC",NY,Business Associate,1863.0,12/12/2023,Hacking/IT Incident,Network Server
Regional Family Medicine,AR,Healthcare Provider,80166.0,12/12/2023,Hacking/IT Incident,Network Server
"Cardiothoracic and Vascular Surgeons, P.A.",TX,Healthcare Provider,1868.0,12/12/2023,Hacking/IT Incident,Network Server
"Yorkshire Wellness Group, Corp.",NM,Healthcare Provider,1000.0,12/12/2023,Unauthorized Access/Disclosure,Paper/Films
"New Partners, Inc. d/b/a VNS Health Personal Care",NY,Healthcare Provider,5175.0,12/8/2023,Hacking/IT Incident,Email
VNS CHOICE d/b/a VNS Health Health Plans,NY,Health Plan,13584.0,12/8/2023,Hacking/IT Incident,Email
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,4264.0,12/8/2023,Hacking/IT Incident,Email
Mercy Medical Center,IA,Healthcare Provider,97132.0,12/8/2023,Hacking/IT Incident,Network Server
"Independent Living Systems, LLC",FL,Healthcare Provider,19303.0,12/8/2023,Hacking/IT Incident,Network Server
City of Homer,AK,Healthcare Provider,1412.0,12/7/2023,Loss,Other Portable Electronic Device
Wichita Urology Group ,KS,Healthcare Provider,5314.0,12/7/2023,Hacking/IT Incident,Network Server
"Affinity Legacy, Inc.",NY,Health Plan,5538.0,12/7/2023,Hacking/IT Incident,Network Server
Prime Healthcare,CA,Healthcare Provider,7185.0,12/6/2023,Hacking/IT Incident,Network Server
Akumin Operating Corp.,FL,Healthcare Provider,7127.0,12/6/2023,Hacking/IT Incident,Network Server
Hi-School Pharmacy,WA,Healthcare Provider,12779.0,12/5/2023,Hacking/IT Incident,Network Server
Waterford Country School,CT,Healthcare Provider,6211.0,12/5/2023,Hacking/IT Incident,Network Server
"Pan-American Life Insurance Group, Inc.",LA,Business Associate,94807.0,12/4/2023,Hacking/IT Incident,Network Server
Leggett & Platt Incorporated Employee Benefit Fund,MO,Health Plan,1200.0,12/4/2023,Hacking/IT Incident,Network Server
Neurosurgical Associates of New Jersey,NJ,Healthcare Provider,32156.0,12/4/2023,Hacking/IT Incident,Email
4 Over LLC Group Health Plan,CA,Health Plan,6491.0,12/4/2023,Hacking/IT Incident,Network Server
"Pan-American Life Insurance Group, Inc.",LA,Health Plan,105387.0,12/4/2023,Hacking/IT Incident,Network Server
KY Cabinet for Health and Family Services (CHFS),KY,Healthcare Provider,2062.0,12/3/2023,Hacking/IT Incident,Network Server
Strategic Management LLC,MS,Business Associate,1640.0,12/3/2023,Hacking/IT Incident,Email
EMS Management and Consultants Inc.,NC,Business Associate,2654.0,12/1/2023,Unauthorized Access/Disclosure,Paper/Films
Cardiovascular Consultants Ltd. ,AZ,Healthcare Provider,484000.0,12/1/2023,Hacking/IT Incident,Network Server
"Neuromusculoskeletal Center of the Cascades, PC ",OR,Healthcare Provider,19373.0,12/1/2023,Hacking/IT Incident,Email
West Anaheim Medical Center ,CA,Healthcare Provider,1166.0,11/29/2023,Hacking/IT Incident,Network Server
Chesapeake Regional Healthcare,VA,Healthcare Provider,31679.0,11/29/2023,Hacking/IT Incident,Network Server
"County of Rock, WI",WI,Healthcare Provider,10853.0,11/29/2023,Hacking/IT Incident,Network Server
"Fenway Community Health Center, Inc.",MA,Healthcare Provider,599.0,11/29/2023,Unauthorized Access/Disclosure,Paper/Films
Columbia County Child Abuse Assessment Center dba The Amani Center,OR,Healthcare Provider,760.0,11/28/2023,Hacking/IT Incident,Email
"Lakeview Healthcare System, LLC",FL,Healthcare Provider,2495.0,11/27/2023,Theft,"Other Portable Electronic Device, Paper/Films"
Inline Plastics Corp.,CT,Health Plan,4853.0,11/27/2023,Hacking/IT Incident,Network Server
Oak Street Health,IL,Healthcare Provider,3169.0,11/24/2023,Unauthorized Access/Disclosure,Paper/Films
"Montrose Behavioral Health Hospital, Inc.",IL,Healthcare Provider,597.0,11/24/2023,Hacking/IT Incident,Email
"Saisystems International, Inc. ",CT,Business Associate,10063.0,11/22/2023,Hacking/IT Incident,Network Server
"Sierra County Department of Public Health, Department of Behavioral Health",CA,Healthcare Provider,2463.0,11/22/2023,Hacking/IT Incident,Email
"East River Medical Imaging, PC",NY,Healthcare Provider,605809.0,11/22/2023,Hacking/IT Incident,Network Server
The Charles Lea Center,SC,Healthcare Provider,1250.0,11/22/2023,Hacking/IT Incident,Network Server
Northwest Eye Care Professionals,OR,Healthcare Provider,950.0,11/22/2023,Hacking/IT Incident,Network Server
Columbus Aesthetic and Plastic Surgery,OH,Healthcare Provider,12677.0,11/21/2023,Hacking/IT Incident,Network Server
"Berry, Dunn, McNeil & Parker, LLC",ME,Business Associate,2068426.0,11/21/2023,Hacking/IT Incident,Network Server
"U.S. Drug Mart, Inc.",TX,Healthcare Provider,48261.0,11/21/2023,Hacking/IT Incident,Network Server
"TGI Direct, Inc.",MI,Business Associate,16113.0,11/21/2023,Hacking/IT Incident,Network Server
"Detroit Chassis, LLC",MI,Health Plan,958.0,11/21/2023,Hacking/IT Incident,Network Server
Proliance Surgeons,WA,Healthcare Provider,437392.0,11/20/2023,Hacking/IT Incident,Network Server
Jacksonville Children's and Multispecialty Clinic,NC,Healthcare Provider,40000.0,11/17/2023,Hacking/IT Incident,Network Server
"CKF Addiction Treatment, Inc.",KS,Healthcare Provider,501.0,11/17/2023,Hacking/IT Incident,Email
California Physiciansâ€™ Service d/b/a Blue Shield of California,CA,Health Plan,636849.0,11/17/2023,Hacking/IT Incident,Network Server
Blue Shield of California OR Blue Shield of California Promise Health Plan,CA,Business Associate,27832.0,11/17/2023,Hacking/IT Incident,Network Server
State of Maine,ME,Health Plan,376504.0,11/16/2023,Hacking/IT Incident,Network Server
Rock Valley Physical Therapy Center,IL,Healthcare Provider,2421.0,11/16/2023,Unauthorized Access/Disclosure,Email
Westside Community Services,CA,Healthcare Provider,2484.0,11/15/2023,Hacking/IT Incident,Network Server
International Paper Company Group Health and Welfare Plan,TN,Health Plan,78692.0,11/14/2023,Hacking/IT Incident,Network Server
Medical College of Wisconsin,WI,Healthcare Provider,240667.0,11/14/2023,Hacking/IT Incident,Network Server
"Medical Eye Services, Inc.",NY,Business Associate,377931.0,11/14/2023,Hacking/IT Incident,Network Server
Endocrine and Psychiatry Center,TX,Healthcare Provider,28531.0,11/14/2023,Hacking/IT Incident,Network Server
Southwest Behavioral Health Center,UT,Healthcare Provider,17147.0,11/13/2023,Hacking/IT Incident,Network Server
Medical University of South Carolina,SC,Healthcare Provider,1758.0,11/13/2023,Unauthorized Access/Disclosure,Network Server
"CBIZ KA Consulting Services, LLC",NJ,Business Associate,436198.0,11/10/2023,Hacking/IT Incident,Network Server
"Southland Integrated Services, Inc.",CA,Healthcare Provider,7988.0,11/10/2023,Hacking/IT Incident,Network Server
Warren General Hospital ,PA,Healthcare Provider,168921.0,11/9/2023,Hacking/IT Incident,Network Server
"Pharmacy Group of Mississippi, LLC",MS,Healthcare Provider,13129.0,11/7/2023,Hacking/IT Incident,Network Server
 Boomerang Healthcare,CA,Healthcare Provider,1204.0,11/7/2023,Unauthorized Access/Disclosure,Email
"Prestige Care, Inc.",WA,Healthcare Provider,116956.0,11/6/2023,Hacking/IT Incident,Network Server
"Welltok, Inc.",CO,Business Associate,14782887.0,11/6/2023,Hacking/IT Incident,Network Server
Wyndemere Senior Care LLC,IL,Healthcare Provider,6832.0,11/6/2023,Hacking/IT Incident,Network Server
Financial Asset Management Systems,GA,Business Associate,164796.0,11/4/2023,Hacking/IT Incident,Network Server
Mayo Clinic,MN,Healthcare Provider,1152.0,11/3/2023,Unauthorized Access/Disclosure,Network Server
Sutter Health ,CA,Healthcare Provider,845441.0,11/3/2023,Hacking/IT Incident,Network Server
"Perry Johnson & Associates, Inc. dba PJ&A",NV,Business Associate,9302588.0,11/3/2023,Hacking/IT Incident,Network Server
Catholic Charities of the Diocese of Rockville Centre d/b/a Catholic Charities of Long Island,NY,Healthcare Provider,13000.0,11/3/2023,Hacking/IT Incident,Network Server
"Youth and Shelter Services, Inc.",IA,Healthcare Provider,13603.0,11/3/2023,Hacking/IT Incident,Network Server
"Westat, Inc.",MD,Business Associate,20045.0,11/3/2023,Hacking/IT Incident,Network Server
Life Generations Healthcare LLC,CA,Healthcare Provider,5832.0,11/3/2023,Hacking/IT Incident,Email
Rebekah Childrenâ€™s Services,CA,Healthcare Provider,2033.0,11/3/2023,Hacking/IT Incident,Network Server
PeakMed,CO,Healthcare Provider,27800.0,10/27/2023,Hacking/IT Incident,Network Server
Pause Pain & Wellness,MS,Healthcare Provider,777.0,10/27/2023,Unauthorized Access/Disclosure,Email
