Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information
"H3- Hope, Healing, Health Inc.",MI,Healthcare Provider,1586,9/29/2023,Hacking/IT Incident,Email
"Physio Logic Medicine, PC",NY,Healthcare Provider,1280,9/29/2023,Hacking/IT Incident,Network Server
Gillette Children's Specialty Healthcare,MN,Healthcare Provider,542,9/29/2023,Hacking/IT Incident,Network Server
Mt. Graham Regional Medical Center,AZ,Healthcare Provider,35688,9/29/2023,Hacking/IT Incident,Network Server
"Georgia Northside Ear, Nose, and Throat, LLC.",TX,Healthcare Provider,37774,9/29/2023,Hacking/IT Incident,Email
Greater Dallas Healthcare Enterprises,TX,Healthcare Provider,143833,9/29/2023,Hacking/IT Incident,Email
South Florida Behavioral Health Network dba Thriving Mind South Florida,FL,Business Associate,258126,9/29/2023,Hacking/IT Incident,Network Server
"Hospice of the Bluegrass, Inc. dba Bluegrass Care Navigators",KY,Healthcare Provider,7664,9/26/2023,Hacking/IT Incident,Email
"Entertainment Community Fund, dba Actors Fund Home",NJ,Healthcare Provider,1110,9/26/2023,Hacking/IT Incident,Network Server
Riverdale Mental Health d/b/a Mosaic Mental Health ,NY,Healthcare Provider,7281,9/25/2023,Hacking/IT Incident,Network Server
"Tangoe, Inc.",IN,Health Plan,4765,9/25/2023,Hacking/IT Incident,Network Server
Cook County Health and Hospitals System,IL,Healthcare Provider,1248546,9/24/2023,Hacking/IT Incident,Network Server
"OrthoAlaska, LLC",AK,Healthcare Provider,176203,9/22/2023,Hacking/IT Incident,Network Server
"Allegheny County, Pennsylvania",PA,Business Associate,1505,9/22/2023,Hacking/IT Incident,Network Server
Blue Cross Blue Shield of Texas,IL,Business Associate,3708,9/22/2023,Unauthorized Access/Disclosure,Paper/Films
Clover Health LLC,NJ,Health Plan,2834,9/22/2023,Unauthorized Access/Disclosure,Network Server
Indiana University Health,IN,Healthcare Provider,4194,9/22/2023,Hacking/IT Incident,Network Server
"Health First, Inc.",FL,Healthcare Provider,14171,9/22/2023,Hacking/IT Incident,Email
Wellstar Health System,GA,Healthcare Provider,779,9/21/2023,Hacking/IT Incident,Network Server
Lakeview Clinic ,MN,Healthcare Provider,624,9/21/2023,Unauthorized Access/Disclosure,Email
"Arkansas Total Care, Inc.",AR,Health Plan,578,9/21/2023,Hacking/IT Incident,Network Server
Elevate Patient Financial Solutions,TX,Business Associate,5364,9/20/2023,Unauthorized Access/Disclosure,Paper/Films
Virginia Department of Medical Assistance Services,VA,Health Plan,1229333,9/18/2023,Hacking/IT Incident,Network Server
"Erlanger Health, Inc.",TN,Healthcare Provider,2753,9/18/2023,Hacking/IT Incident,Network Server
"Nuance Communications, Inc.",MA,Business Associate,1225054,9/15/2023,Hacking/IT Incident,Network Server
Oak Valley Hospital District,CA,Healthcare Provider,284629,9/15/2023,Hacking/IT Incident,Network Server
"Temple University Health System,Inc.",PA,Healthcare Provider,431563,9/15/2023,Hacking/IT Incident,Network Server
Omnicell Specialty Pharmacy Services (OSPS),TX,Business Associate,661,9/15/2023,Hacking/IT Incident,Email
"Founder Project Rx, Inc.",TX,Healthcare Provider,30836,9/15/2023,Hacking/IT Incident,Email
Peach State Health Plan,GA,Health Plan,1246,9/15/2023,Hacking/IT Incident,Network Server
Advocates for a Healthy Community Inc dba Jordan Valley Community Health Center,MO,Healthcare Provider,2502,9/15/2023,Unauthorized Access/Disclosure,Electronic Medical Record
VA Department of Medical Assistance Services,VA,Health Plan,928,9/14/2023,Hacking/IT Incident,Network Server
Sutter North Surgery Center ,CA,Healthcare Provider,861,9/8/2023,Hacking/IT Incident,Network Server
Laboratory Corporation of America Holdings dba LabCorp,NC,Healthcare Provider,1431,9/8/2023,Unauthorized Access/Disclosure,Paper/Films
Ryders Health Management LLC ,CT,Healthcare Provider,7252,9/7/2023,Hacking/IT Incident,Network Server
Coos Health & Wellness,OR,Healthcare Provider,22115,9/7/2023,Hacking/IT Incident,Network Server
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,315915,9/7/2023,Unauthorized Access/Disclosure,Network Server
Roseman University of Health Sciences,NV,Healthcare Provider,4622,9/6/2023,Hacking/IT Incident,Network Server
Amerita,KS,Healthcare Provider,219707,9/5/2023,Hacking/IT Incident,Network Server
Bienville Orthopaedic Specialists LLC,MS,Healthcare Provider,242986,9/5/2023,Hacking/IT Incident,Network Server
"Georgia Hand, Shoulder & Elbow, PC",GA,Healthcare Provider,20498,9/1/2023,Hacking/IT Incident,Email
Bloom Health Centers,MD,Healthcare Provider,1545,9/1/2023,Hacking/IT Incident,Email
"MedMinder Systems, Inc.",MA,Healthcare Provider,12146,9/1/2023,Hacking/IT Incident,Network Server
"Enzo Clinical Labs, Inc.",NY,Healthcare Provider,1700,8/31/2023,Hacking/IT Incident,Network Server
"Mountain View Family Practice, PC",MA,Healthcare Provider,5139,8/31/2023,Hacking/IT Incident,"Electronic Medical Record, Network Server"
Indiana University Health,IN,Health Plan,1191,8/31/2023,Hacking/IT Incident,Network Server
TTEC Healthcare Solutions ,CO,Business Associate,2953,8/30/2023,Unauthorized Access/Disclosure,Network Server
"O'Neil Digital Solutions, LLC ",CA,Business Associate,1722,8/30/2023,Unauthorized Access/Disclosure,Paper/Films
Associates in Pediatric Dentistry,LA,Healthcare Provider,9556,8/25/2023,Hacking/IT Incident,Email
Data Media Associates,GA,Business Associate,100644,8/24/2023,Hacking/IT Incident,Network Server
Detroit Central City Community Mental Health,MI,Healthcare Provider,1412,8/24/2023,Hacking/IT Incident,Email
"IEC Group, Inc. dba AmeriBen",ID,Business Associate,74884,8/24/2023,Unauthorized Access/Disclosure,Email
Milan Eye Center,GA,Healthcare Provider,67336,8/23/2023,Hacking/IT Incident,Network Server
PRIME THERAPEUTICS LLC,MN,Business Associate,6050,8/23/2023,Hacking/IT Incident,Network Server
Vecino Health Centers,TX,Healthcare Provider,1339,8/22/2023,Hacking/IT Incident,Network Server
Serco Inc. Group Health Plan,VA,Health Plan,10140,8/22/2023,Hacking/IT Incident,Network Server
Absolute Dental Services,NC,Business Associate,10037,8/21/2023,Hacking/IT Incident,Email
McAlester Regional Health Center,OK,Healthcare Provider,37731,8/21/2023,Hacking/IT Incident,Network Server
The University of Massachusetts Chan Medical School,MA,Business Associate,135394,8/21/2023,Hacking/IT Incident,Network Server
Health Care Service Corporation,IL,Health Plan,220913,8/21/2023,Hacking/IT Incident,Network Server
Illinois Department of Public Health,IL,Healthcare Provider,126000,8/18/2023,Hacking/IT Incident,Network Server
UofL Health ,KY,Healthcare Provider,8175,8/18/2023,Hacking/IT Incident,Network Server
Morris Hospital & Healthcare Centers,IL,Healthcare Provider,256568,8/17/2023,Hacking/IT Incident,Network Server
The Harris Center for Mental Health and IDD,TX,Healthcare Provider,599367,8/17/2023,Hacking/IT Incident,Network Server
Blue Cross Blue Shield of Arizona,AZ,Health Plan,47485,8/17/2023,Hacking/IT Incident,Network Server
"SysInformation Healthcare Services, LLC",TX,Business Associate,537987,8/17/2023,Hacking/IT Incident,Network Server
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,527,8/17/2023,Hacking/IT Incident,Network Server
"Baesman Group, Inc.",OH,Business Associate,1170094,8/17/2023,Hacking/IT Incident,Network Server
SUNY at Buffalo School of Dental Medicine,NY,Healthcare Provider,765,8/16/2023,Hacking/IT Incident,Network Server
A-Family Dental Care Center PC,PA,Healthcare Provider,2800,8/16/2023,Unauthorized Access/Disclosure,Network Server
"Kennedy University Hospital, Inc. t/a Jefferson Health ",NJ,Healthcare Provider,4140,8/15/2023,Loss,Other Portable Electronic Device
Performance Health Technology,OR,Business Associate,1752076,8/15/2023,Hacking/IT Incident,Network Server
University of Utah Health,UT,Health Plan,8606,8/15/2023,Hacking/IT Incident,Network Server
Monocacy Valley Dental,MD,Healthcare Provider,4000,8/15/2023,Theft,Laptop
"Nice Pak Products Inc., Health and Welfare Benefits Plan",NJ,Health Plan,8487,8/14/2023,Hacking/IT Incident,Network Server
"United Bankshares, Inc.",DC,Business Associate,8801,8/11/2023,Hacking/IT Incident,Network Server
"American National Group, LLC",TX,Health Plan,47711,8/11/2023,Hacking/IT Incident,Network Server
Colorado Department of Health Care Policy & Financing,CO,Health Plan,4091794,8/11/2023,Hacking/IT Incident,Network Server
Three Crowns Park,IL,Healthcare Provider,516,8/11/2023,Hacking/IT Incident,Email
EMS Management and Consultants Inc,NC,Business Associate,223598,8/10/2023,Hacking/IT Incident,Network Server
iTrust Wellness Group,SC,Healthcare Provider,981,8/10/2023,Hacking/IT Incident,Email
Madera County,CA,Health Plan,1446,8/9/2023,Unauthorized Access/Disclosure,Email
Virginia Department of Medical Assistance Services,VA,Health Plan,423824,8/9/2023,Hacking/IT Incident,Network Server
PCC Pediatric EHR Solutions,VT,Business Associate,520,8/9/2023,Unauthorized Access/Disclosure,Email
Sovos Compliance LLC,MA,Business Associate,18261,8/8/2023,Hacking/IT Incident,Network Server
Lurie Childrenâ€™s Surgical Foundation ,IL,Healthcare Provider,1997,8/8/2023,Hacking/IT Incident,Network Server
Harris Eye Care,MI,Healthcare Provider,6267,8/8/2023,Hacking/IT Incident,Network Server
Premera Blue Cross,WA,Health Plan,33212,8/8/2023,Hacking/IT Incident,Network Server
Spinal and Sports Care Clinic PS,WA,Healthcare Provider,1136,8/8/2023,Hacking/IT Incident,Network Server
Missouri Department of Social Services,MO,Health Plan,739884,8/7/2023,Hacking/IT Incident,Network Server
Redwood Coast Regional Center,CA,Healthcare Provider,1345,8/7/2023,Unauthorized Access/Disclosure,Email
Cranberry Township Emergency Medical Service,PA,Healthcare Provider,1247,8/7/2023,Hacking/IT Incident,Network Server
"Gary Motykie, M.D., a Medical Corporation ",CA,Healthcare Provider,3400,8/5/2023,Hacking/IT Incident,Email
Radius Global Solutions,MN,Business Associate,632204,8/4/2023,Hacking/IT Incident,Network Server
"Maximus, Inc.",VA,Business Associate,9179390,8/4/2023,Hacking/IT Incident,Network Server
Indiana University Health,IN,Health Plan,21383,8/4/2023,Hacking/IT Incident,Network Server
Capital Neurological Surgeons,CA,Healthcare Provider,1769,8/4/2023,Hacking/IT Incident,Email
Brigham and Women's Hospital,MA,Healthcare Provider,987,8/4/2023,Unauthorized Access/Disclosure,Network Server
City of Dallas,TX,Health Plan,5058,8/3/2023,Hacking/IT Incident,Network Server
Cognizant Technologies Solutions,TX,Business Associate,7313,8/3/2023,Hacking/IT Incident,Network Server
"Advanced Care Partners, LLC",GA,Healthcare Provider,518,8/3/2023,Unauthorized Access/Disclosure,Email
Plumbers Local 8 Health & Welfare Fund,MO,Health Plan,4790,8/2/2023,Hacking/IT Incident,Email
"Grane Supply, Inc.",PA,Healthcare Provider,798,8/1/2023,Unauthorized Access/Disclosure,Email
"The Health Plan of West Virginia, Inc.",WV,Health Plan,1292,8/1/2023,Hacking/IT Incident,Network Server
Johns Hopkins Health System Corporation,MD,Business Associate,2584,7/31/2023,Hacking/IT Incident,Network Server
Howard County General Hospital,MD,Healthcare Provider,2975,7/31/2023,Hacking/IT Incident,Network Server
Synergy Healthcare Services,GA,Business Associate,296956,7/31/2023,Hacking/IT Incident,Network Server
UC Davis Health,CA,Healthcare Provider,3201,7/28/2023,Hacking/IT Incident,Email
Baylor College of Medicine,TX,Healthcare Provider,505,7/28/2023,Hacking/IT Incident,Network Server
"Dean Health Service Company, LLC (referenced herein as ""WellFirst Health"")",MN,Business Associate,1027,7/28/2023,Hacking/IT Incident,Network Server
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,398319,7/28/2023,Hacking/IT Incident,Network Server
Jefferson County Health Center,IA,Healthcare Provider,53827,7/28/2023,Hacking/IT Incident,Network Server
The Chattanooga Heart Institute,TN,Healthcare Provider,545491,7/28/2023,Hacking/IT Incident,Network Server
Allegheny County ,PA,Healthcare Provider,689686,7/28/2023,Hacking/IT Incident,Network Server
Centers for Medicare & Medicaid Services,MD,Health Plan,2342357,7/28/2023,Hacking/IT Incident,Network Server
Gladden Farms Family Dentistry,AZ,Healthcare Provider,3085,7/27/2023,Hacking/IT Incident,Network Server
CareSource,OH,Business Associate,3180537,7/27/2023,Unauthorized Access/Disclosure,Network Server
Saint Francis Health System,OK,Healthcare Provider,18911,7/26/2023,Hacking/IT Incident,Network Server
"Hillsborough County, Florida (County Government)",FL,Healthcare Provider,70636,7/26/2023,Hacking/IT Incident,Network Server
"Life Management Center of Northwest Florida, Inc. ",FL,Healthcare Provider,19107,7/25/2023,Hacking/IT Incident,Network Server
"BlueCross BlueShield of Tennessee, Inc.",TN,Business Associate,2688,7/25/2023,Unauthorized Access/Disclosure,Paper/Films
Johns Hopkins Medicine,MD,Healthcare Provider,310405,7/25/2023,Hacking/IT Incident,Network Server
UT Southwestern Medical Center,TX,Healthcare Provider,98437,7/24/2023,Hacking/IT Incident,Network Server
Sutter Senior Care ,CA,Healthcare Provider,519,7/22/2023,Hacking/IT Incident,Network Server
Paramedic Billing Services,IL,Healthcare Clearing House,93610,7/21/2023,Hacking/IT Incident,Network Server
Harris County Hospital District d/b/a Harris Health System ,TX,Healthcare Provider,455676,7/21/2023,Hacking/IT Incident,Network Server
"Batesville Tool & Die, Inc.",IN,Health Plan,4549,7/21/2023,Hacking/IT Incident,Network Server
Pennsylvania Department of Human Services,PA,Healthcare Provider,11687,7/21/2023,Hacking/IT Incident,Network Server
Rite Aid Corporation ,PA,Healthcare Provider,23433,7/19/2023,Hacking/IT Incident,Network Server
Physicians Insurance A Mutual Company ,WA,Business Associate,1852,7/19/2023,Hacking/IT Incident,Email
"Stephen Harkins, DDS, PC, dba: Harkins Pain & Sleep Management Group",AZ,Healthcare Provider,6411,7/18/2023,Hacking/IT Incident,Network Server
ACUPUNCTURE AND INTEGRATIVE SOLUTIONS INCORPORATED,OH,Healthcare Provider,750,7/18/2023,Hacking/IT Incident,Network Server
Tahoe Forest Hospital District,CA,Healthcare Provider,1119,7/17/2023,Unauthorized Access/Disclosure,Paper/Films
Fairfax Oral and Maxillofacial Surgery ,VA,Healthcare Provider,235931,7/14/2023,Hacking/IT Incident,Network Server
"Pension Benefit Information, LLC",MN,Business Associate,1866694,7/14/2023,Hacking/IT Incident,Network Server
"The Pavillion at Health Park, LLC dba Park Royal Hospital",FL,Healthcare Provider,6096,7/14/2023,Hacking/IT Incident,Email
"Care N' Care Insurance Company, Inc.",TX,Health Plan,33032,7/14/2023,Hacking/IT Incident,Network Server
Wake Family Eye Care,NC,Healthcare Provider,14221,7/14/2023,Hacking/IT Incident,Network Server
Hines Interests Limited Partnership,TX,Health Plan,3000,7/13/2023,Hacking/IT Incident,Network Server
Beacon Specialized Living,MI,Healthcare Provider,3338,7/13/2023,Hacking/IT Incident,Network Server
Konen & Associates dba Unified Pain Management ,TX,Healthcare Provider,5922,7/12/2023,Hacking/IT Incident,Email
Molina Healthcare,CA,Health Plan,7702,7/11/2023,Hacking/IT Incident,Network Server
Aria Care Partners ,KS,Healthcare Provider,77405,7/11/2023,Hacking/IT Incident,Network Server
Charles George Department of Veterans Affairs Medical Center,NC,Healthcare Provider,1541,7/11/2023,Unauthorized Access/Disclosure,Email
"The Vitality Group, LLC",IL,Business Associate,20387,7/11/2023,Hacking/IT Incident,Network Server
Arizona State Urological Institute ,AZ,Healthcare Provider,1626,7/10/2023,Unauthorized Access/Disclosure,Email
Catholic Charities of the Archdiocese of Newark,NJ,Healthcare Provider,9895,7/7/2023,Hacking/IT Incident,Network Server
Precision Anesthesia Billing LLC,FL,Business Associate,209200,7/7/2023,Hacking/IT Incident,Network Server
"Miracle-Ear Flagship, LLC",MN,Healthcare Provider,3560,7/7/2023,Hacking/IT Incident,Email
"Parsley Health, Inc. ",NY,Business Associate,1004,7/7/2023,Unauthorized Access/Disclosure,Network Server
Norton Healthcare Inc.,KY,Healthcare Provider,2500000,7/7/2023,Hacking/IT Incident,Network Server
Public Health Management Corporation,PA,Healthcare Provider,206113,7/6/2023,Hacking/IT Incident,Network Server
"edgeMED Healthcare, LLC",FL,Business Associate,6700,7/6/2023,Hacking/IT Incident,Network Server
"Phoenician Medical Center, Inc",AZ,Healthcare Provider,163532,7/5/2023,Hacking/IT Incident,Network Server
Mountain View Hospital ,ID,Healthcare Provider,441903,7/3/2023,Hacking/IT Incident,Network Server
Eastern Connecticut Health Network,CT,Healthcare Provider,912,7/2/2023,Unauthorized Access/Disclosure,Email
Arizona Health Care Cost Containment System,AZ,Health Plan,2632,6/30/2023,Unauthorized Access/Disclosure,Network Server
Deanco Healthcare LLC dba Mission Community Hospital,CA,Healthcare Provider,269847,6/30/2023,Hacking/IT Incident,Network Server
Imagine360,PA,Business Associate,132807,6/30/2023,Hacking/IT Incident,Network Server
"Orrick, Herrington & Sutcliffe LLP",CA,Business Associate,342176,6/30/2023,Hacking/IT Incident,Network Server
ARx Patient Solutions,KS,Healthcare Provider,41166,6/30/2023,Hacking/IT Incident,Email
Health First Health Plans,FL,Health Plan,701,6/30/2023,Unauthorized Access/Disclosure,Paper/Films
Recovery Centers of America,PA,Healthcare Provider,2220,6/30/2023,Hacking/IT Incident,Network Server
"Mount Desert Island Hospital, Inc.",ME,Healthcare Provider,29952,6/30/2023,Hacking/IT Incident,Network Server
"South Suburban Surgical Suites, LLC",IN,Healthcare Provider,5340,6/30/2023,Hacking/IT Incident,Email
"Advanced Medical Management, LLC",MD,Business Associate,319485,6/29/2023,Hacking/IT Incident,Network Server
Partnership Health Center,MT,Healthcare Provider,8331,6/29/2023,Unauthorized Access/Disclosure,Email
Henrietta Johnson Medical Center,DE,Healthcare Provider,4001,6/27/2023,Hacking/IT Incident,Network Server
Itasca County Health & Human Services,MN,Healthcare Provider,1413,6/27/2023,Hacking/IT Incident,Email
"Tidewater Diagnostic Imaging, Ltd.",MA,Healthcare Provider,40195,6/26/2023,Hacking/IT Incident,Network Server
University of Pittsburgh Medical Center,PA,Healthcare Provider,1533,6/26/2023,Hacking/IT Incident,Network Server
Activate Healthcare LLC,IL,Healthcare Provider,93761,6/23/2023,Hacking/IT Incident,Network Server
Senior Choice dba The Atrium; Beacon Ridge; and The Patriot,PA,Healthcare Provider,5057,6/23/2023,Hacking/IT Incident,Network Server
The Williamsport Home,PA,Healthcare Provider,3660,6/23/2023,Hacking/IT Incident,Network Server
The MetroHealth System,OH,Healthcare Provider,1230,6/23/2023,Unauthorized Access/Disclosure,Electronic Medical Record
Desert Physicians Management,CA,Business Associate,63713,6/22/2023,Hacking/IT Incident,Network Server
"GlobalHealth Holdings, LLC",OK,Health Plan,622,6/22/2023,Hacking/IT Incident,Network Server
"Vitra Home Care, LLC",MA,Business Associate,658,6/22/2023,Hacking/IT Incident,Email
Limbach Facility Services LLC Group Benefit Plan,PA,Health Plan,1392,6/22/2023,Hacking/IT Incident,Network Server
"DMS Health Technologies, Inc. ",ND,Healthcare Provider,48336,6/21/2023,Hacking/IT Incident,Network Server
Murfreesboro Medical Clinic & SurgiCenter,TN,Healthcare Provider,559000,6/21/2023,Hacking/IT Incident,Network Server
City of San Luis,AZ,Healthcare Provider,6848,6/20/2023,Hacking/IT Incident,Email
Community Research Foundation,CA,Healthcare Provider,31104,6/20/2023,Hacking/IT Incident,Network Server
Quatela Center for Plastic Surgery,NY,Healthcare Provider,1085,6/20/2023,Unauthorized Access/Disclosure,Email
"Kannact, Inc.",OR,Business Associate,109210,6/20/2023,Hacking/IT Incident,Network Server
VINCERA IMAGING LLC,PA,Healthcare Provider,5000,6/20/2023,Hacking/IT Incident,Network Server
VINCERA REHAB LLC,PA,Healthcare Provider,5000,6/20/2023,Hacking/IT Incident,Network Server
VINCERA SURGERY CENTER,PA,Healthcare Provider,5000,6/20/2023,Hacking/IT Incident,Network Server
"CORE PERFORMANCE PHYSICIANS, DBA VINCERA CORE PHYSICIANS",PA,,10000,6/20/2023,Hacking/IT Incident,Network Server
SEVA Medical Group LLC,VA,Healthcare Provider,690,6/19/2023,Unauthorized Access/Disclosure,Email
"Peachtree Orthopaedic Clinic, P.A.",GA,Healthcare Provider,34691,6/19/2023,Hacking/IT Incident,Network Server
Atrium Health Wake Forest Baptist ,NC,Healthcare Provider,3679,6/16/2023,Hacking/IT Incident,Email
"Core Recovery, Inc.",AZ,Healthcare Provider,2656,6/16/2023,Hacking/IT Incident,Email
"New Horizons Medical, Inc",MA,Healthcare Provider,12317,6/16/2023,Hacking/IT Incident,Network Server
Humana Inc.,KY,Health Plan,9372,6/15/2023,Unauthorized Access/Disclosure,Paper/Films
Parker Drilling Company Group Health and Flexible Benefit Plan,TX,Health Plan,5973,6/15/2023,Hacking/IT Incident,Network Server
Commonwealth Health Physician Network - Great Valley Cardiology,PA,Healthcare Provider,181764,6/12/2023,Hacking/IT Incident,Network Server
Idaho Department of Health & Welfare,ID,Health Plan,2501,6/12/2023,Hacking/IT Incident,Network Server
"Atlanta Women's Health Group, P.C.",GA,Healthcare Provider,33839,6/11/2023,Hacking/IT Incident,Network Server
"HC3, Inc",AL,Business Associate,1105,6/11/2023,Unauthorized Access/Disclosure,Paper/Films
Valley Obstetrics & Gynecology PC,UT,Healthcare Provider,61327,6/9/2023,Hacking/IT Incident,Network Server
Uponor North America,MN,Health Plan,1048,6/8/2023,Hacking/IT Incident,Network Server
"Intellihartx, LLC",TN,Business Associate,489830,6/8/2023,Hacking/IT Incident,Network Server
"Marshall & Melhorn, LLC",OH,Business Associate,9412,6/7/2023,Hacking/IT Incident,Network Server
"Utah Medicaid, Division of Integrated Healthcare: Utah Department of Health and Human Services",UT,Health Plan,5833,6/6/2023,Unauthorized Access/Disclosure,Paper/Films
Henry Ford Health,MI,Healthcare Provider,168215,6/6/2023,Hacking/IT Incident,Email
Ascension Providence,TX,Healthcare Provider,1415,6/6/2023,Hacking/IT Incident,Network Server
Ascension Seton,TX,Healthcare Provider,17191,6/6/2023,Hacking/IT Incident,Network Server
Southeast Nursing and Rehab Center,TX,Healthcare Provider,2721,6/6/2023,Improper Disposal,Paper/Films
"Enzo Clinical Labs, Inc.",NY,Healthcare Provider,2470000,6/5/2023,Hacking/IT Incident,Network Server
"South Jersey Behavorial Health Resources, Inc.",NJ,Healthcare Provider,501,6/4/2023,Hacking/IT Incident,Network Server
"John N. Evans, DPM",MI,Healthcare Provider,15545,6/3/2023,Hacking/IT Incident,Network Server
Unified Operations Virginia LP,FL,Business Associate,91851,6/2/2023,Hacking/IT Incident,Network Server
"Mississippi Childrenâ€™s Home Society, CARES Center, Inc., Mississippi Childrenâ€™s Home Services, Inc., d.b.a. Canopy Childrenâ€™s Solutions",MS,Healthcare Provider,19791,6/2/2023,Hacking/IT Incident,Network Server
"CareNet Medical Group, PC",NY,Healthcare Provider,10059,6/2/2023,Hacking/IT Incident,Network Server
Classic Residence Management Limited Partnership,IL,Healthcare Provider,12405,6/2/2023,Hacking/IT Incident,Network Server
"T. Rowe Price Group, Inc.",MD,Health Plan,684,6/2/2023,Hacking/IT Incident,Network Server
MUSC Health Lancaster Medical Center,SC,Healthcare Provider,1802,6/2/2023,Unauthorized Access/Disclosure,Electronic Medical Record
Elgon Information Systems,MA,Business Associate,31248,6/2/2023,Hacking/IT Incident,Network Server
Episource,MN,Business Associate,23557,6/2/2023,Hacking/IT Incident,Network Server
"Mercy Medical Center - Clinton, Inc.",IA,Healthcare Provider,20865,6/2/2023,Hacking/IT Incident,Network Server
Petaluma Health Center,CA,Healthcare Provider,124862,6/2/2023,Hacking/IT Incident,Network Server
Maimonides Medical Center,NY,Healthcare Provider,33000,6/1/2023,Hacking/IT Incident,Network Server
Pain Relief Centers PA,NC,Healthcare Provider,7000,6/1/2023,Unauthorized Access/Disclosure,Electronic Medical Record
"iSpace, Inc.",CA,Business Associate,24382,5/31/2023,Hacking/IT Incident,Network Server
Builders FirstSource Flex Plan,TX,Health Plan,3763,5/30/2023,Hacking/IT Incident,Network Server
Iowa Department of Health and Human Services - Iowa Medicaid,IA,Health Plan,233834,5/30/2023,Hacking/IT Incident,Network Server
"Alvaria, Inc.",MA,Business Associate,4456,5/26/2023,Hacking/IT Incident,Network Server
"Alvaria, Inc.",MA,Business Associate,1389,5/26/2023,Hacking/IT Incident,Network Server
"Alvaria, Inc.",MA,Business Associate,1191,5/26/2023,Hacking/IT Incident,Network Server
"Alvaria, Inc.",MA,Business Associate,1518,5/26/2023,Hacking/IT Incident,Network Server
"Alvaria, Inc.",MA,Business Associate,524,5/26/2023,Hacking/IT Incident,Network Server
"Alvaria, Inc.",MA,Business Associate,507,5/26/2023,Hacking/IT Incident,Network Server
"Pioneer Valley Ophthalmic Consultants, PC",MA,Healthcare Provider,36275,5/26/2023,Hacking/IT Incident,Network Server
"Alvaria, Inc.",MA,Business Associate,983,5/26/2023,Hacking/IT Incident,Network Server
"Brightline, Inc.",CA,Business Associate,8432,5/26/2023,Hacking/IT Incident,Network Server
Onix Group,PA,Business Associate,387830,5/26/2023,Hacking/IT Incident,Network Server
"Alvaria, Inc.",MA,Business Associate,803,5/26/2023,Hacking/IT Incident,Network Server
North Shore Medical Labs,NY,Healthcare Provider,500,5/26/2023,Hacking/IT Incident,Network Server
"Alvaria, Inc.",MA,Business Associate,1147,5/26/2023,Hacking/IT Incident,Network Server
"Alvaria, Inc.",MA,Business Associate,537,5/26/2023,Hacking/IT Incident,Network Server
"Alvaria, Inc.",MA,Business Associate,796,5/26/2023,Hacking/IT Incident,Network Server
"Alvaria, Inc.",MA,Business Associate,1097,5/26/2023,Hacking/IT Incident,Network Server
"Alvaria, Inc.",MA,Business Associate,916,5/26/2023,Hacking/IT Incident,Network Server
Sparta Community Hospital District,IL,Healthcare Provider,909,5/26/2023,Hacking/IT Incident,Email
Managed Care of North America ,GA,Business Associate,8627242,5/26/2023,Hacking/IT Incident,Network Server
Iowa Department of Health and Human Services,IA,Health Plan,833,5/26/2023,Unauthorized Access/Disclosure,Paper/Films
"South Jersey Behavioral Health Resources, Inc.",NJ,Healthcare Provider,2193,5/26/2023,Hacking/IT Incident,Email
Valley Orthopaedic Specialists,CT,Healthcare Provider,5062,5/26/2023,Hacking/IT Incident,Network Server
Lancaster Orthopedic Group,PA,Healthcare Provider,1784,5/26/2023,Hacking/IT Incident,Network Server
"Albany ENT & Allergy Services, PC.",NY,Healthcare Provider,224486,5/25/2023,Hacking/IT Incident,Network Server
Alaska Railroad Corporation Welfare Benefits Plan,AK,Health Plan,3549,5/25/2023,Hacking/IT Incident,Network Server
Asian Health Services,CA,Healthcare Provider,6270,5/25/2023,Hacking/IT Incident,Email
"Goodwill Industries of Greater New York and Northern NJ, Inc.",NY,Healthcare Provider,10172,5/24/2023,Hacking/IT Incident,Email
"Vascular Center of Intervention, Inc.",CA,Healthcare Provider,3833,5/24/2023,Hacking/IT Incident,Network Server
Harvard Pilgrim Health Care,MA,Health Plan,2662337,5/24/2023,Hacking/IT Incident,Network Server
"MedInform, Inc.",OH,Business Associate,14453,5/24/2023,Hacking/IT Incident,Network Server
"The CSC Generation Holdings, Inc. Health and Welfare Plan",WA,Health Plan,2219,5/24/2023,Hacking/IT Incident,Network Server
"UI Community Home Care, a subsidiary of University of Iowa Health System ",IA,Healthcare Provider,67897,5/24/2023,Hacking/IT Incident,"Electronic Medical Record, Network Server"
Culbertson Memorial Hospital ,IL,Healthcare Provider,69765,5/24/2023,Hacking/IT Incident,Network Server
Grant Regional Health Center,WI,Healthcare Provider,4135,5/23/2023,Hacking/IT Incident,Email
County of Sacramento,CA,Healthcare Provider,5525,5/23/2023,Hacking/IT Incident,Email
"Topcon Healthcare Solutions, Inc.",NJ,Business Associate,3336,5/22/2023,Hacking/IT Incident,Network Server
PillPack LLC,NH,Healthcare Provider,19032,5/19/2023,Hacking/IT Incident,Network Server
